Run,Target_Hashes,Actual_Hashes,Time_Seconds,Speed_Hs
1,300,300,423.2181,0.7089
2,300,300,424.2724,0.7071
3,300,300,424.2792,0.7071
4,300,300,424.3005,0.7070
5,300,300,424.3041,0.7070
6,300,300,424.2731,0.7071
7,300,300,424.2714,0.7071
8,300,300,424.2376,0.7072
9,300,300,424.1878,0.7072
10,300,300,424.2545,0.7071
11,300,300,424.2864,0.7071
12,300,300,424.1439,0.7073
13,300,300,424.2000,0.7072
14,300,300,424.2815,0.7071
15,300,300,424.2901,0.7071
16,300,300,424.3141,0.7070
17,300,300,424.2860,0.7071
18,300,300,424.2001,0.7072
19,300,300,424.1425,0.7073
20,300,300,424.2233,0.7072
21,300,300,424.1897,0.7072
22,300,300,424.1045,0.7074
23,300,300,424.1589,0.7073
24,300,300,424.3101,0.7070
25,300,300,424.2266,0.7072
26,300,300,424.2806,0.7071
27,300,300,424.2320,0.7072
28,300,300,424.2464,0.7071
29,300,300,424.1702,0.7073
30,300,300,424.2985,0.7070
31,300,300,424.2849,0.7071
32,300,300,424.2894,0.7071
33,300,300,424.2841,0.7071
34,300,300,424.2791,0.7071
35,300,300,424.2978,0.7071
36,300,300,424.2803,0.7071
37,300,300,424.2784,0.7071
38,300,300,424.3050,0.7070
39,300,300,424.2958,0.7071
40,300,300,424.2726,0.7071
41,300,300,424.2740,0.7071
42,300,300,424.2856,0.7071
43,300,300,424.3064,0.7070
44,300,300,424.2652,0.7071
45,300,300,424.2726,0.7071
46,300,300,424.2691,0.7071
47,300,300,424.1026,0.7074
48,300,300,424.2512,0.7071
49,300,300,424.3059,0.7070
50,300,300,424.3571,0.7070
51,300,300,424.2343,0.7072
52,300,300,424.0999,0.7074
53,300,300,424.2646,0.7071
54,300,300,424.2832,0.7071
55,300,300,424.2794,0.7071
56,300,300,424.3043,0.7070
57,300,300,424.3037,0.7070
58,300,300,424.2830,0.7071
59,300,300,424.2963,0.7071
60,300,300,424.3553,0.7070
61,300,300,424.3250,0.7070
62,300,300,424.3066,0.7070
63,300,300,424.2327,0.7072
64,300,300,424.2825,0.7071
65,300,300,424.4109,0.7069
66,300,300,424.2702,0.7071
67,300,300,424.2895,0.7071
68,300,300,424.3062,0.7070
69,300,300,424.2705,0.7071
70,300,300,424.2883,0.7071
71,300,300,424.2735,0.7071
72,300,300,424.2856,0.7071
73,300,300,424.2575,0.7071
74,300,300,424.2632,0.7071
75,300,300,424.3533,0.7070
76,300,300,424.2857,0.7071
77,300,300,424.2712,0.7071
78,300,300,424.2581,0.7071
79,300,300,424.2860,0.7071
80,300,300,424.3072,0.7070
81,300,300,424.4439,0.7068
82,300,300,424.4497,0.7068
83,300,300,424.4680,0.7068
84,300,300,424.1036,0.7074
85,300,300,424.2718,0.7071
86,300,300,424.2829,0.7071
87,300,300,424.2055,0.7072
88,300,300,424.2872,0.7071
89,300,300,424.4780,0.7068
90,300,300,424.4157,0.7069
91,300,300,424.3492,0.7070
92,300,300,424.2551,0.7071
93,300,300,424.0896,0.7074
94,300,300,424.2756,0.7071
95,300,300,424.2987,0.7070
96,300,300,424.2362,0.7072
97,300,300,424.2681,0.7071
98,300,300,424.2694,0.7071
99,300,300,424.2704,0.7071
100,300,300,424.2427,0.7071
