Run,Mem_MiB,T_cost,Lanes,HashRate_Hs
1,1024,1,1,54.0500
2,1024,1,1,54.8167
3,1024,1,1,54.0500
4,1024,1,1,54.4333
5,1024,1,1,54.0500
6,1024,1,1,54.4333
7,1024,1,1,54.0500
8,1024,1,1,54.4333
9,1024,1,1,54.0500
10,1024,1,1,54.4333
11,1024,1,1,54.0500
12,1024,1,1,54.4333
13,1024,1,1,54.0500
14,1024,1,1,54.4333
15,1024,1,1,54.4333
16,1024,1,1,54.4333
17,1024,1,1,54.4333
18,1024,1,1,54.0500
19,1024,1,1,54.4333
20,1024,1,1,54.0500
21,1024,1,1,54.4333
22,1024,1,1,54.0500
23,1024,1,1,54.4333
24,1024,1,1,54.0500
25,1024,1,1,54.4333
26,1024,1,1,54.0500
27,1024,1,1,54.4333
28,1024,1,1,54.0500
29,1024,1,1,54.4333
30,1024,1,1,54.0500
31,1024,1,1,54.4333
32,1024,1,1,54.0500
33,1024,1,1,54.4333
34,1024,1,1,54.0500
35,1024,1,1,54.4333
36,1024,1,1,54.0500
37,1024,1,1,54.4333
38,1024,1,1,54.0500
39,1024,1,1,54.4333
40,1024,1,1,54.0500
41,1024,1,1,54.4333
42,1024,1,1,54.0500
43,1024,1,1,54.4333
44,1024,1,1,54.0500
45,1024,1,1,54.4333
46,1024,1,1,54.0500
47,1024,1,1,54.4333
48,1024,1,1,54.4333
49,1024,1,1,54.4333
50,1024,1,1,54.4333
51,1024,1,1,54.0500
52,1024,1,1,54.4333
53,1024,1,1,54.0500
54,1024,1,1,54.4333
55,1024,1,1,54.0500
56,1024,1,1,54.4333
57,1024,1,1,54.0500
58,1024,1,1,54.4333
59,1024,1,1,54.0500
60,1024,1,1,54.4333
61,1024,1,1,54.0500
62,1024,1,1,54.4333
63,1024,1,1,54.0500
64,1024,1,1,54.4333
65,1024,1,1,54.0500
66,1024,1,1,54.4333
67,1024,1,1,54.0500
68,1024,1,1,54.4333
69,1024,1,1,54.0500
70,1024,1,1,54.4333
71,1024,1,1,54.0500
72,1024,1,1,54.4333
73,1024,1,1,54.0500
74,1024,1,1,54.4333
75,1024,1,1,54.0500
76,1024,1,1,54.4333
77,1024,1,1,54.0500
78,1024,1,1,54.4333
79,1024,1,1,54.0500
80,1024,1,1,54.4333
81,1024,1,1,54.0500
82,1024,1,1,54.4333
83,1024,1,1,54.0500
84,1024,1,1,54.4333
85,1024,1,1,54.0500
86,1024,1,1,54.4333
87,1024,1,1,54.0500
88,1024,1,1,54.4333
89,1024,1,1,54.0500
90,1024,1,1,54.4333
91,1024,1,1,54.0500
92,1024,1,1,54.4333
93,1024,1,1,54.0500
94,1024,1,1,54.4333
95,1024,1,1,54.0500
96,1024,1,1,54.4333
97,1024,1,1,54.0500
98,1024,1,1,54.4333
99,1024,1,1,54.0500
100,1024,1,1,54.4333
