Run,Mem_MiB,Mem_KiB,HashRate,Status
1,64,65536,0,ERROR_NO_SPEED_DATA
2,64,65536,0,ERROR_NO_SPEED_DATA
3,64,65536,0,ERROR_NO_SPEED_DATA
1,128,131072,0,ERROR_NO_SPEED_DATA
2,128,131072,0,ERROR_NO_SPEED_DATA
3,128,131072,0,ERROR_NO_SPEED_DATA
1,256,262144,0,ERROR_NO_SPEED_DATA
2,256,262144,0,ERROR_NO_SPEED_DATA
3,256,262144,0,ERROR_NO_SPEED_DATA
1,512,524288,0,ERROR_NO_SPEED_DATA
2,512,524288,0,ERROR_NO_SPEED_DATA
3,512,524288,0,ERROR_NO_SPEED_DATA
1,1024,1048576,0,ERROR_NO_SPEED_DATA
2,1024,1048576,0,ERROR_NO_SPEED_DATA
3,1024,1048576,0,ERROR_NO_SPEED_DATA
1,2048,2097152,0,ERROR_NO_SPEED_DATA
2,2048,2097152,0,ERROR_NO_SPEED_DATA
3,2048,2097152,0,ERROR_NO_SPEED_DATA
1,4096,4194304,0,ERROR_NO_SPEED_DATA
2,4096,4194304,0,ERROR_NO_SPEED_DATA
3,4096,4194304,0,ERROR_NO_SPEED_DATA
1,8192,8388608,0,ERROR_NO_SPEED_DATA
2,8192,8388608,0,ERROR_NO_SPEED_DATA
3,8192,8388608,0,ERROR_NO_SPEED_DATA
