Run,Time_ms
1,20493.881167000
2,20503.997578000
3,20721.080015000
4,20760.237960000
5,21042.064744000
6,20955.028940000
7,20648.510621000
8,20546.170243000
9,20708.238572000
10,20406.098324000
11,20389.400793000
12,20458.078644000
13,20488.391937000
14,20479.550994000
15,20489.137373000
16,20500.398440000
17,20412.042899000
18,20563.215782000
19,20479.223936000
20,20562.214654000
21,20480.899142000
22,20456.739654000
23,20426.886498000
24,20784.277527000
25,20517.295027000
26,20599.612724000
27,20382.054984000
28,20718.300754000
29,20449.791106000
30,20486.446029000
31,20526.226932000
32,20442.391495000
33,20465.027162000
34,20396.296830000
35,20757.395903000
36,20805.292099000
37,20547.989057000
38,20563.042788000
39,20420.932208000
40,20362.034934000
41,20449.289193000
42,20444.983496000
43,20493.120606000
44,20465.093455000
45,20446.675274000
46,20452.306195000
47,20334.284727000
48,20475.488718000
49,20512.820515000
50,20359.332829000
51,20544.981444000
52,20463.405579000
53,20736.198301000
54,20886.365350000
55,20489.743612000
56,20396.561155000
57,20470.901742000
58,20685.398503000
59,20582.099681000
60,20935.906751000
61,20927.034451000
62,20462.718680000
63,20653.578210000
64,20478.293916000
65,20667.616230000
66,20432.371850000
67,20605.579430000
68,20869.093234000
69,20586.912065000
70,20798.544249000
71,20523.111291000
72,20492.915084000
73,20511.414922000
74,20598.169835000
75,20483.021190000
76,20651.501194000
77,20682.991781000
78,20511.966758000
79,20796.744102000
80,20811.199824000
81,20378.240986000
82,20449.382338000
83,20665.896158000
84,20765.009796000
85,20782.734899000
86,20410.394056000
87,20395.644931000
88,20372.924728000
89,20360.227635000
90,20407.269552000
91,20809.702283000
92,20818.037254000
93,20499.204996000
94,20681.634229000
95,20475.328393000
96,20547.532789000
97,20389.941918000
98,20708.223759000
99,20518.576536000
100,20806.646491000
101,20540.439948000
102,20627.370935000
103,20600.255406000
104,20678.591587000
105,20581.867785000
106,20395.202504000
107,20715.620945000
108,20570.157557000
109,20534.982158000
110,20589.430967000
111,20512.016470000
112,20429.226699000
113,20498.262121000
114,20502.398764000
115,20684.882129000
116,20462.358203000
117,20601.134705000
118,20630.525435000
119,20514.589214000
120,20586.874350000
121,20520.632458000
122,20737.807821000
123,20934.841217000
124,20589.721364000
125,20523.530528000
126,20509.262482000
127,20514.964409000
128,20652.430099000
129,20566.603602000
130,20812.647659000
131,20669.176410000
132,20441.160763000
133,20435.333392000
134,20688.007310000
135,20474.737635000
136,20673.152691000
137,20703.636413000
138,20633.104606000
139,20725.215461000
140,20486.817552000
141,20428.134704000
142,20430.451138000
143,20650.778264000
144,20459.528688000
145,20566.073506000
146,21277.617427000
147,21088.184709000
148,20940.867100000
149,20689.454426000
150,20485.457007000
151,20487.121036000
152,20539.985394000
153,20559.262094000
154,20942.274478000
155,20655.317937000
156,20496.096779000
157,20539.653227000
158,20659.170104000
159,20677.313037000
160,20505.292942000
161,20714.430851000
162,20639.405899000
163,20518.322379000
164,20533.843509000
165,20505.743117000
166,20536.735970000
167,20474.974508000
168,20500.863655000
169,20729.073933000
170,20564.867164000
171,20490.354538000
172,20523.386896000
173,20488.082675000
174,20542.474833000
175,20516.708207000
176,20606.139136000
177,20782.506926000
178,20575.823869000
179,20590.908415000
180,20603.840964000
181,20513.239464000
182,20503.704938000
183,20490.342051000
184,20610.627794000
185,20610.040923000
186,20735.484838000
187,20445.341329000
188,20646.647634000
189,20536.389331000
190,20695.242128000
191,20516.901356000
192,20605.610944000
193,20588.991636000
194,20543.697308000
195,20513.656590000
196,20459.274339000
197,20686.194763000
198,20489.435505000
199,20441.116766000
200,20856.291551000
