Run,Total_H_per_s,NumDevices,SpeedLines
1,9612400000.000,1,"Speed.#1.........: 9612.4 MH/s (72.80ms) @ Accel:16 Loops:1024 Thr:512 Vec:1"
2,9534800000.000,1,"Speed.#1.........: 9534.8 MH/s (73.41ms) @ Accel:32 Loops:512 Thr:512 Vec:1"
3,9493500000.000,1,"Speed.#1.........: 9493.5 MH/s (73.74ms) @ Accel:16 Loops:1024 Thr:512 Vec:1"
4,9446700000.000,1,"Speed.#1.........: 9446.7 MH/s (74.07ms) @ Accel:16 Loops:1024 Thr:512 Vec:1"
5,9384200000.000,1,"Speed.#1.........: 9384.2 MH/s (74.60ms) @ Accel:8 Loops:1024 Thr:1024 Vec:1"
6,9335800000.000,1,"Speed.#1.........: 9335.8 MH/s (74.98ms) @ Accel:16 Loops:1024 Thr:512 Vec:1"
7,9298900000.000,1,"Speed.#1.........: 9298.9 MH/s (75.27ms) @ Accel:8 Loops:1024 Thr:1024 Vec:1"
8,9266300000.000,1,"Speed.#1.........: 9266.3 MH/s (75.55ms) @ Accel:16 Loops:1024 Thr:512 Vec:1"
9,9224700000.000,1,"Speed.#1.........: 9224.7 MH/s (75.89ms) @ Accel:16 Loops:1024 Thr:512 Vec:1"
10,9197500000.000,1,"Speed.#1.........: 9197.5 MH/s (76.11ms) @ Accel:8 Loops:1024 Thr:1024 Vec:1"
11,9199900000.000,1,"Speed.#1.........: 9199.9 MH/s (76.14ms) @ Accel:16 Loops:1024 Thr:512 Vec:1"
12,9183600000.000,1,"Speed.#1.........: 9183.6 MH/s (76.22ms) @ Accel:8 Loops:1024 Thr:1024 Vec:1"
13,9179500000.000,1,"Speed.#1.........: 9179.5 MH/s (76.29ms) @ Accel:8 Loops:1024 Thr:1024 Vec:1"
14,9173300000.000,1,"Speed.#1.........: 9173.3 MH/s (76.34ms) @ Accel:8 Loops:1024 Thr:1024 Vec:1"
15,9159500000.000,1,"Speed.#1.........: 9159.5 MH/s (76.40ms) @ Accel:16 Loops:512 Thr:1024 Vec:1"
16,9166200000.000,1,"Speed.#1.........: 9166.2 MH/s (76.36ms) @ Accel:32 Loops:512 Thr:512 Vec:1"
17,9163700000.000,1,"Speed.#1.........: 9163.7 MH/s (76.39ms) @ Accel:16 Loops:1024 Thr:512 Vec:1"
18,9160100000.000,1,"Speed.#1.........: 9160.1 MH/s (76.43ms) @ Accel:16 Loops:1024 Thr:512 Vec:1"
19,9137200000.000,1,"Speed.#1.........: 9137.2 MH/s (76.55ms) @ Accel:16 Loops:512 Thr:1024 Vec:1"
20,9125900000.000,1,"Speed.#1.........: 9125.9 MH/s (76.63ms) @ Accel:16 Loops:512 Thr:1024 Vec:1"
21,9141300000.000,1,"Speed.#1.........: 9141.3 MH/s (76.59ms) @ Accel:16 Loops:1024 Thr:512 Vec:1"
22,9138100000.000,1,"Speed.#1.........: 9138.1 MH/s (76.61ms) @ Accel:8 Loops:1024 Thr:1024 Vec:1"
23,9141400000.000,1,"Speed.#1.........: 9141.4 MH/s (76.61ms) @ Accel:16 Loops:1024 Thr:512 Vec:1"
24,9136000000.000,1,"Speed.#1.........: 9136.0 MH/s (76.63ms) @ Accel:16 Loops:1024 Thr:512 Vec:1"
25,9136400000.000,1,"Speed.#1.........: 9136.4 MH/s (76.64ms) @ Accel:16 Loops:1024 Thr:512 Vec:1"
26,9133800000.000,1,"Speed.#1.........: 9133.8 MH/s (76.69ms) @ Accel:8 Loops:1024 Thr:1024 Vec:1"
27,9140100000.000,1,"Speed.#1.........: 9140.1 MH/s (76.64ms) @ Accel:16 Loops:1024 Thr:512 Vec:1"
28,9138200000.000,1,"Speed.#1.........: 9138.2 MH/s (76.66ms) @ Accel:8 Loops:1024 Thr:1024 Vec:1"
29,9136900000.000,1,"Speed.#1.........: 9136.9 MH/s (76.63ms) @ Accel:16 Loops:1024 Thr:512 Vec:1"
30,9129000000.000,1,"Speed.#1.........: 9129.0 MH/s (76.66ms) @ Accel:16 Loops:512 Thr:1024 Vec:1"
